"","sector","code","description","region","nondis","estab","employ","wage","bea.comp.st","bea.earn.st","bea.empl.st","gdp.comp.st","us.comp.gdp.ratio","us.comp.out.ratio","st.output","st.gdp.est","gdp","taxsub.est","taxsub.st","surplus.est","surplus.st","check","output","jobs.1000output.ratio","earn.output.ratio","comp.output.ratio","valueadded.output.ratio","taxsub.output.ratio","surplus.output.ratio","Code","Description","st.total.dem","rpc"
"27",24.3,"233210","Health care structures",34000,0,742.583071308,4668.04468823248,335876883.135421,425073062.114569,674215899.310545,7710.33877242761,395847542.340507,0.671112698979794,0.373233839632639,1060588564.87966,589837657.583089,594553642.234055,8331445.18711529,12926634.5666498,187233299.346701,186623563.12165,0,1060588564.87966,0.00726986790895906,0.635699762977402,0.400789784267379,0.560588395841807,0.0121881707899768,0.175962262183002,"233210","Health care structures",1340815053.5,0.791002877027039
"28",24.4,"233230","Manufacturing structures",34000,0,568.216382275152,3571.93634965864,389101428.854089,492432031.32106,781055151.307053,5899.86625424632,458575305.615688,0.862281512790032,0.565060588574726,811550681.268305,531816232.649943,536068313.130169,3894301.57471395,6042194.62747086,69932215.5507722,69704477.1876274,0,811550681.268305,0.00726986790895906,0.962423135529141,0.606779148471022,0.660548164770674,0.00744524620203388,0.0858904795430546,"233230","Manufacturing structures",1190655070.48,0.681600155569099
"29",24.5,"233240","Power and communication structures",34000,0,1258.84683628858,7913.39516679856,551794898.391293,698330724.427425,1107634708.82829,13070.7740930413,650317617.47103,0.539531450328296,0.361701850573665,1797938319.75041,1205337737.17051,1214974887.6553,4838374.68373551,7506969.08261531,554619349.722442,552813199.268328,0,1797938319.75041,0.00726986790895906,0.616058235513914,0.388406385667538,0.675760049334707,0.00417532069935381,0.307470614089291,"233240","Power and communication structures",2649501409.09,0.678594966427263
"30",24.6,"233262","Educational and vocational structures",34000,0,1488.7400367688,9358.55568126085,454107294.3231,574700992.591548,911543405.331902,15457.7857630729,535187937.730804,0.514646612478328,0.251701354476379,2126281516.61785,1039913456.64077,1048227974.77437,12886597.9381443,19994171.3127217,495874400.513576,494259556.433362,0,2126281516.61785,0.00726986790895906,0.428703065989982,0.27028452634329,0.492986449151719,0.00940335094692694,0.232452548061251,"233262","Educational and vocational structures",2697115178.64,0.788353991500658
"31",24.7,"233293","Highways and streets",34000,0,1195.95941440723,7518.07064754609,517265499.190455,654631624.583871,1038322793.9459,12417.8056293573,609623010.31453,0.688600899233007,0.356897095310551,1708119842.73526,885306729.912136,892385106.302632,11470488.274612,17797009.6300051,266417431.365885,265549827.368862,0,1708119842.73526,0.00726986790895906,0.607874674813919,0.383246894161473,0.522437058557689,0.0104190638061474,0.155463229642968,"233293","Highways and streets",2172318188.68,0.786311992246952
"32",24.8,"2332A0","Commercial structures, including farm structures",34000,0,2333.65451771793,14669.8786930527,1376348209.68725,1741854165.62824,2762785688.8996,24230.6451690552,1622094533.93608,0.78911277921427,0.486673504369573,3333024130.90539,2055592783.01286,2072028057.8528,30941996.1481817,48007982.7673593,406045844.190174,404723532.074229,0,3333024130.90539,0.00726986790895906,0.828912597206164,0.522604726883595,0.621666083554562,0.0144037309307804,0.121428323401994,"2332A0","Commercial structures, including farm structures",4403722663.49,0.756865131071612
"33",24.9,"2332B0","Other nonresidential structures",34000,0,2366.08186925111,14873.72433932,1194482777.99308,1511692163.34522,2397721667.70661,24567.3426719663,1407757115.11524,0.663528710642196,0.416577747599185,3379338246.52999,2121622007.51305,2138585212.03882,29573090.1401004,45884059.8073999,690023035.38386,687775934.882712,0,3379338246.52999,0.00726986790895906,0.709524022985466,0.447333783440433,0.632841419243779,0.0135778239584378,0.203523851330639,"2332B0","Other nonresidential structures",4444837224.14,0.760283915050192
"34",25.1,"233411","Single-family residential structures",34000,0,4584.91274180299,28821.7956984718,2011148763.92497,2545233704.29408,4037040179.30363,47605.7586648894,2370238427.9893,0.70339436472918,0.361958737082991,6548366388.64128,3369714838.27837,3396657037.12095,32358105.8117141,50205144.450076,975109512.480647,971934011.139665,0,6548366388.64128,0.00726986790895906,0.616495770045218,0.388682238169968,0.518702961247366,0.00766681970287449,0.148423889785026,"233411","Single-family residential structures",8698089072.88,0.752851153141051
"35",25.2,"233412","Multifamily residential structures",34000,0,833.471462056224,5239.38961386743,349744271.306989,442623103.363592,702052330.028561,8654.04501921185,412190946.135235,0.648684501437099,0.346262785208497,1190399210.49281,635425920.030562,640506400.815679,2690608.36071145,4174607.19716168,222352819.002304,221628714.00089,0,1190399210.49281,0.00726986790895906,0.58976209311994,0.371827450373017,0.538060169370005,0.00350689681273685,0.186180158762992,"233412","Multifamily residential structures",1527257576.64,0.779435786536878
"36",25.3,"2334A0","Other residential structures",34000,0,2987.0705693146,18777.3993822721,89820146.0224323,113672974.909498,180298715.295338,31015.1509190695,105857490.767859,0.0686133159308555,0.0248127109574381,4266260585.1267,1542812635.29861,1555148030.66349,18480231.1090971,28672959.9594526,1429987538.23496,1425330699.91359,0,4266260585.1267,0.00726986790895906,0.0422615336540637,0.026644639407586,0.364522513248522,0.00672086465121564,0.334093680278853,"2334A0","Other residential structures",8063322917.16242,0.529094596477857
